﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2013-12-31 累计(%),归属于母公司普通股股东的加权ROE 2012-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE 2014-12-31 累计(%),PE-TTM(扣非) 2017-04-30 ,PB(不含商誉) 2017-04-30 ,资产负债率 2016-12-31 累计(%)
sh,="603258",电魂网络,互联网软件与服务,119.64,151.22,37.06,54.6,75.7,53.23,6.85,15.78
sh,="603444",吉比特,计算机软件,101.85,48.97,78.9,43.74,67.72,29.95,9.83,22.32
sh,="603177",德创环保,商业用品与服务,96.61,40.99,15.85,11.51,33.28,90.11,9.39,66.58
sz,="002845",同兴达,电子元器件,92.75,74.02,23.49,21.2,27.38,50.71,7.47,78.42
sz,="300620",光库科技,通信设备,89.46,378.67,28.79,25.05,51.77,88.3,8.78,17.97
sz,="300590",移为通信,通信设备,85.33,83.76,57.19,69.68,88.75,57.1,7.09,26.74
sz,="300558",贝达药业,化学制剂,76.99,96.84,32.88,48.72,62.66,86.24,12.03,10.99
sz,="300494",盛天网络,互联网软件与服务,68.06,84.36,12.9,25.08,40.51,62.14,7.13,5.11
sz,="300550",和仁科技,计算机软件,63.53,76.79,18.88,27.46,33.32,79.91,8.03,17.43
sh,="603377",东方时尚,其他消费者服务,62.95,71.94,16.98,47.86,60.32,64.72,10.43,28.01
sz,="002841",视源股份,电子元器件,62.22,64.12,74.94,54.65,52.11,46.54,14.19,56.35
sz,="300613",富瀚微,电子元器件,61.88,52.36,52.71,28.79,46.85,71.82,9.33,17.71
sh,="603421",鼎信通讯,通信设备,59.81,98.56,22.8,28.83,54.99,36.48,6.93,16.02
sz,="300559",佳发教育,计算机软件,59.37,90.12,19.45,26.66,39.84,70.53,6.08,9.66
sh,="603160",汇顶科技,电子元器件,58.38,114.66,47.13,35.52,51.23,49.96,15.56,14.89
sz,="000921",海信家电,家用电器,58.16,61.95,24.23,15.49,21.65,17.26,3.73,72.06
sz,="002853",皮阿诺,耐用家居用品,56.14,43.35,25.75,24.7,41.54,54.98,6.19,40.99
sz,="300533",冰川网络,互联网软件与服务,54.97,93.75,18.56,38.71,48.39,74.06,6.4,13.92
sh,="603528",多伦科技,计算机软件,54.41,41.26,28.86,60.21,73.23,47.63,8.03,28.5
sh,="603303",得邦照明,家用电器,54.25,30.92,28.55,39.97,54.82,30.62,3.92,46.48
sh,="603868",飞科电器,家用电器,53.99,71.38,34.3,55.23,53.35,35.04,10.25,27.79
sh,="603816",顾家家居,耐用家居用品,52.41,48.49,37.25,49.88,49.43,39.48,5.93,33.92
sh,="603881",数据港,信息技术服务,51.66,46.65,20.78,23.95,27.78,142.8,14.53,64.76
sz,="300628",亿联网络,通信设备,51.13,69.41,71.36,74.51,59.41,54.18,10.44,11.34
sz,="300607",拓斯达,专用设备,50.95,88.81,24.15,22.93,30.51,90.39,10.86,41.34
sz,="300484",蓝海华腾,电气部件与设备,50.41,51.92,32.02,31.97,30.48,45.07,11.31,39.11
sz,="300615",欣天科技,电子元器件,50.23,61.12,30.73,31.4,55.94,65.68,7.18,34.99
sz,="300561",汇金科技,计算机软件,49.31,53.73,27.99,34.38,38.59,73.58,7.58,10.57
sh,="603098",森特股份,建筑产品,48.1,53.73,20.66,19.63,35.23,47.22,5.78,35.07
sz,="300436",广生堂,化学制剂,47.89,49.6,12.56,27.15,59.07,114.31,11.73,21.17
sz,="300418",昆仑万维,计算机软件,47.53,34.67,18.31,16.67,35.8,38.93,10.59,49.56
sz,="300567",精测电子,电子设备及服务,47.47,36.79,33.71,37.57,34.74,67.11,9.85,27
sh,="600988",赤峰黄金,有色金属,47.23,91.16,13.94,15.63,32.24,35.71,5.46,33.88
sz,="300648",星云股份,电子设备及服务,46.82,70.32,25.66,20.91,23.83,42.03,4.15,42.92
sz,="300496",中科创达,互联网软件与服务,45.8,36.39,11.61,30.84,38.63,136.45,15.61,41.71
sz,="000049",德赛电池,电子设备及服务,45.62,40.09,24.6,27.75,37.05,42.22,9.43,70.85
sz,="300625",三雄极光,家用电器,45.31,43.46,36.64,29.81,39.17,46.16,5.52,44.07
sh,="603288",海天味业,食品,45,38,32,32,33,34.16,10.93,25.62
