﻿交易所,代码,公司,行业,归属于母公司普通股股东的加权ROE 2018-12-31 累计(%),归属于母公司普通股股东的加权ROE 2017-12-31 累计(%),归属于母公司普通股股东的加权ROE 2016-12-31 累计(%),归属于母公司普通股股东的加权ROE 2015-12-31 累计(%),归属于母公司普通股股东的加权ROE  TTM(%) (最新季度),PE-TTM(扣非) 2019-12-01 ,PB(不含商誉) 2019-12-01 ,资产负债率  累计(%) (最新季度)
sh,="603489",八方股份,,63.35,26.89,68.53,57.47,61.1,32.78,5.04,27.58
sz,="002027",分众传媒,传媒,46.92,67.65,70.73,73.2,17.46,48.15,6.18,23.2
sz,="300571",平治信息,电信增值服务,45.98,33.11,35.17,25.62,38.87,23.68,7.84,65
sh,="600338",西藏珠峰,有色金属,42.86,71.24,66.21,22.62,27.2,14.69,3.5,42.22
sh,="603260",合盛硅业,化学制品,42.19,42.12,28.02,13.03,17.76,20.39,3.11,49.38
sz,="300760",迈瑞医疗,医疗保健设备与用品,42.16,47,28,10,26.16,48.88,13.49,27.99
sh,="601155",新城控股,住宅地产开发和管理,41.91,34.18,22.44,22.53,39.39,9.12,2.51,88.01
sz,="300752",隆利科技,光电子器件,40.76,41.76,55.18,23.03,10.86,39.21,3.7,51.02
sh,="603755",日辰股份,,40.38,38.22,26.71,23.8,36.48,60.48,8.48,7.19
sz,="300751",迈为股份,专用设备,37.99,52.08,84.81,41.15,16.17,32.38,4.93,64.12
sz,="300800",力合科技,,37.77,21.35,17.63,15.26,45.79,28.48,3.27,30.52
sz,="300761",立华股份,农牧渔产品,37.15,32.11,27.8,33.36,31.39,15.22,3.8,20.65
sh,="600309",万华化学,化学原料,36.82,50.66,28.11,14.67,24.59,17.23,3.9,56.5
sz,="002942",新农股份,农用化工,36.75,27.47,15.52,16.33,19.47,22.45,3.62,28.02
sh,="688006",杭可科技,,36.56,31.5,56.37,71.94,26.38,50.09,6.53,40.34
sz,="300757",罗博特科,专用设备,35.59,49.21,56.73,83.69,19.18,40.45,4.55,52.75
sz,="002803",吉宏股份,商业用品与服务,35.43,17.04,12.85,14.6,36.38,15.58,4.05,42.09
sh,="600340",华夏幸福,住宅地产开发和管理,35.19,31.4,29.54,42.07,41.38,6.43,2.15,84.94
sz,="300799",左江科技,,35.15,38.09,22.36,58.96,35.77,103.56,12.41,23.88
